alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,airfoil_list,max_thickness,chord_at_max_thickness,max_camber,chord_at_max_camber,reynolds_no,cl_cd,max_cl_cd
-9.000,-0.5693,0.10116,0.09376,0.0165,1.0000,0.3639,n0009sm-il,9,30.9,0,0,50000,-5.627718465796758,27.028720626631852
-8.750,-0.7142,0.07868,0.07178,-0.0149,1.0000,0.1757,n0009sm-il,9,30.9,0,0,50000,-9.07727503812913,27.028720626631852
-8.500,-0.7137,0.07346,0.06654,-0.0151,1.0000,0.1724,n0009sm-il,9,30.9,0,0,50000,-9.715491423904165,27.028720626631852
-8.250,-0.7642,0.06347,0.05612,-0.0184,1.0000,0.1482,n0009sm-il,9,30.9,0,0,50000,-12.040334016070585,27.028720626631852
-8.000,-0.7681,0.05866,0.05100,-0.0173,1.0000,0.1481,n0009sm-il,9,30.9,0,0,50000,-13.094101602454826,27.028720626631852
-7.750,-0.7702,0.05414,0.04605,-0.0158,1.0000,0.1486,n0009sm-il,9,30.9,0,0,50000,-14.226080531954192,27.028720626631852
-7.500,-0.7678,0.04985,0.04126,-0.0139,1.0000,0.1489,n0009sm-il,9,30.9,0,0,50000,-15.40220661985958,27.028720626631852
-7.250,-0.7586,0.04570,0.03671,-0.0122,1.0000,0.1494,n0009sm-il,9,30.9,0,0,50000,-16.599562363238515,27.028720626631852
-7.000,-0.7428,0.04225,0.03304,-0.0107,1.0000,0.1522,n0009sm-il,9,30.9,0,0,50000,-17.581065088757395,27.028720626631852
-6.750,-0.7290,0.03964,0.03006,-0.0089,1.0000,0.1595,n0009sm-il,9,30.9,0,0,50000,-18.390514631685164,27.028720626631852
-6.500,-0.7134,0.03689,0.02699,-0.0071,1.0000,0.1662,n0009sm-il,9,30.9,0,0,50000,-19.338574139333154,27.028720626631852
-6.250,-0.6942,0.03431,0.02407,-0.0056,1.0000,0.1718,n0009sm-il,9,30.9,0,0,50000,-20.23316817254445,27.028720626631852
-6.000,-0.6744,0.03181,0.02110,-0.0040,1.0000,0.1782,n0009sm-il,9,30.9,0,0,50000,-21.20088022634392,27.028720626631852
-5.750,-0.6537,0.03001,0.01911,-0.0026,1.0000,0.1915,n0009sm-il,9,30.9,0,0,50000,-21.78273908697101,27.028720626631852
-5.500,-0.6311,0.02822,0.01724,-0.0014,1.0000,0.2060,n0009sm-il,9,30.9,0,0,50000,-22.363571934798017,27.028720626631852
-5.250,-0.6064,0.02638,0.01536,-0.0003,1.0000,0.2220,n0009sm-il,9,30.9,0,0,50000,-22.98711144806672,27.028720626631852
-5.000,-0.5831,0.02481,0.01382,0.0009,1.0000,0.2480,n0009sm-il,9,30.9,0,0,50000,-23.50261991132608,27.028720626631852
-4.750,-0.5614,0.02330,0.01254,0.0024,1.0000,0.2889,n0009sm-il,9,30.9,0,0,50000,-24.094420600858367,27.028720626631852
-4.500,-0.5414,0.02154,0.01133,0.0044,1.0000,0.3597,n0009sm-il,9,30.9,0,0,50000,-25.134633240482824,27.028720626631852
-4.250,-0.5291,0.01998,0.01068,0.0084,1.0000,0.4790,n0009sm-il,9,30.9,0,0,50000,-26.48148148148148,27.028720626631852
-4.000,-0.5177,0.01915,0.01049,0.0134,1.0000,0.5943,n0009sm-il,9,30.9,0,0,50000,-27.033942558746737,27.028720626631852
-3.750,-0.5027,0.01887,0.01051,0.0185,1.0000,0.6872,n0009sm-il,9,30.9,0,0,50000,-26.64016958134605,27.028720626631852
-3.500,-0.4803,0.01909,0.01089,0.0231,1.0000,0.7695,n0009sm-il,9,30.9,0,0,50000,-25.159769512833947,27.028720626631852
-3.250,-0.4247,0.02039,0.01199,0.0234,1.0000,0.8489,n0009sm-il,9,30.9,0,0,50000,-20.828837665522318,27.028720626631852
-3.000,-0.2970,0.02197,0.01277,0.0091,1.0000,0.9159,n0009sm-il,9,30.9,0,0,50000,-13.5184342284934,27.028720626631852
-2.750,-0.1843,0.02164,0.01183,-0.0069,1.0000,0.9649,n0009sm-il,9,30.9,0,0,50000,-8.516635859519408,27.028720626631852
-2.500,-0.0912,0.02030,0.01010,-0.0216,1.0000,1.0000,n0009sm-il,9,30.9,0,0,50000,-4.492610837438424,27.028720626631852
-2.250,-0.0830,0.01956,0.00931,-0.0204,1.0000,1.0000,n0009sm-il,9,30.9,0,0,50000,-4.2433537832310835,27.028720626631852
-2.000,-0.0746,0.01894,0.00862,-0.0188,1.0000,1.0000,n0009sm-il,9,30.9,0,0,50000,-3.938753959873284,27.028720626631852
-1.750,-0.0661,0.01842,0.00807,-0.0170,1.0000,1.0000,n0009sm-il,9,30.9,0,0,50000,-3.588490770901195,27.028720626631852
-1.500,-0.0574,0.01800,0.00761,-0.0149,1.0000,1.0000,n0009sm-il,9,30.9,0,0,50000,-3.188888888888889,27.028720626631852
-1.250,-0.0485,0.01766,0.00724,-0.0126,1.0000,1.0000,n0009sm-il,9,30.9,0,0,50000,-2.746319365798415,27.028720626631852
-1.000,-0.0393,0.01739,0.00695,-0.0102,1.0000,1.0000,n0009sm-il,9,30.9,0,0,50000,-2.2599194939620473,27.028720626631852
-0.750,-0.0297,0.01719,0.00674,-0.0077,1.0000,1.0000,n0009sm-il,9,30.9,0,0,50000,-1.7277486910994764,27.028720626631852
-0.500,-0.0199,0.01705,0.00658,-0.0052,1.0000,1.0000,n0009sm-il,9,30.9,0,0,50000,-1.1671554252199414,27.028720626631852
-0.250,-0.0100,0.01696,0.00649,-0.0026,1.0000,1.0000,n0009sm-il,9,30.9,0,0,50000,-0.589622641509434,27.028720626631852
0.000,0.0000,0.01694,0.00646,0.0000,1.0000,1.0000,n0009sm-il,9,30.9,0,0,50000,0.0,27.028720626631852
0.250,0.0100,0.01696,0.00649,0.0026,1.0000,1.0000,n0009sm-il,9,30.9,0,0,50000,0.589622641509434,27.028720626631852
0.500,0.0199,0.01704,0.00658,0.0052,1.0000,1.0000,n0009sm-il,9,30.9,0,0,50000,1.1678403755868545,27.028720626631852
0.750,0.0297,0.01718,0.00674,0.0077,1.0000,1.0000,n0009sm-il,9,30.9,0,0,50000,1.728754365541327,27.028720626631852
1.000,0.0393,0.01739,0.00695,0.0102,1.0000,1.0000,n0009sm-il,9,30.9,0,0,50000,2.2599194939620473,27.028720626631852
1.250,0.0485,0.01765,0.00724,0.0126,1.0000,1.0000,n0009sm-il,9,30.9,0,0,50000,2.747875354107649,27.028720626631852
1.500,0.0574,0.01800,0.00760,0.0149,1.0000,1.0000,n0009sm-il,9,30.9,0,0,50000,3.188888888888889,27.028720626631852
1.750,0.0661,0.01842,0.00806,0.0170,1.0000,1.0000,n0009sm-il,9,30.9,0,0,50000,3.588490770901195,27.028720626631852
2.000,0.0747,0.01894,0.00862,0.0188,1.0000,1.0000,n0009sm-il,9,30.9,0,0,50000,3.944033790918691,27.028720626631852
2.250,0.0831,0.01956,0.00931,0.0204,1.0000,1.0000,n0009sm-il,9,30.9,0,0,50000,4.248466257668711,27.028720626631852
2.500,0.0913,0.02030,0.01009,0.0216,1.0000,1.0000,n0009sm-il,9,30.9,0,0,50000,4.497536945812809,27.028720626631852
